Trait.type,Rate,Taxon,Study,Mean.Rate,Taxon2,NatExp,Species
M,-0.00473,V,s1,-0.004505,A,N,Bradypus.pygmaeus
M,-0.00428,V,s1,-0.004505,A,N,Bradypus.pygmaeus
M,-0.072,V,s2,-0.072,A,N,Gadus.morhua
M,-0.122,V,s3,-0.000730786,A,N,Gasterosteus.aculeatus
P,0.63,V,s4,0.63,A,N,Gasterosteus.aculeatus
M,-0.137,V,s5,-0.155,A,N,Gasterosteus.aculeatus
M,-0.104,V,s5,-0.155,A,N,Gasterosteus.aculeatus
M,-0.237,V,s5,-0.155,A,N,Gasterosteus.aculeatus
M,-0.142,V,s5,-0.155,A,N,Gasterosteus.aculeatus
M,0.149,V,s6,0.049584364,A,N,Loxia.curvirostra
M,-0.277,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.212,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.124,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.452,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.271,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.265,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.074,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.587,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.276,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.019,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.045,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.32,V,s7,-0.050642857,A,N,Coregonus.spp.
M,0.012,V,s7,-0.050642857,A,N,Coregonus.spp.
M,-0.123,V,s7,-0.050642857,A,N,Coregonus.spp.
P,0.0361,P,s8,0.007717823,P,N,Lupinus.bicolor
P,0.0618,P,s8,0.007717823,P,N,lotus.purshianus
P,0.0004,P,s8,0.007717823,P,N,Mimulus.guttatus
P,0.0004,P,s8,0.007717823,P,N,Mimulus.guttatus
P,0.0642,P,s8,0.007717823,P,N,Plantagi.lanceolata
P,0.0122,P,s8,0.007717823,P,N,Plantagi.lanceolata
P,0.0376,P,s8,0.007717823,P,N,Plantagi.lanceolata
M,-0.0066,P,s8,0.007717823,P,N,Anthoxanthum.odoratum
M,0.0456,P,s8,0.007717823,P,N,Anthoxanthum.odoratum
M,-0.045,P,s8,0.007717823,P,N,Anthoxanthum.odoratum
L,-0.0315,P,s8,0.007717823,P,N,Anthoxanthum.odoratum
L,0.6096,P,s8,0.007717823,P,N,Lolium.rigidum
M,0.2966,P,s8,0.007717823,P,N,Lolium.rigidum
L,-0.6506,P,s8,0.007717823,P,N,Plantago.major.(ISP)
L,-0.4691,P,s8,0.007717823,P,N,Plantago.major.(Totley)
L,-0.2981,P,s8,0.007717823,P,N,Plantago.major.(Scaftworth)
M,0.4989,P,s8,0.007717823,P,N,Arabidopsis.thaliana.(pop..1)
M,0.5256,P,s8,0.007717823,P,N,Arabidopsis.thaliana.(pop..2)
M,0.2336,P,s8,0.007717823,P,N,Arabidopsis.thaliana.(pop..5)
M,0.4226,P,s8,0.007717823,P,N,Arabidopsis.thaliana.(pop..8)
M,0.0218,P,s8,0.007717823,P,N,Lythrum.salicaria
M,0.0326,P,s8,0.007717823,P,N,Lythrum.salicaria
M,0.032,P,s8,0.007717823,P,N,Carduus.nutans
M,0.0021,P,s8,0.007717823,P,N,Digitalis.purpurea
M,-0.0032,P,s8,0.007717823,P,N,Echium.vulgare
M,0.0066,P,s8,0.007717823,P,N,Senecio.jacobaea
P,-0.8082,P,s8,0.007717823,P,N,Spartina.alterniflora.(SF)
P,-0.351,P,s8,0.007717823,P,N,Spartina.alternifloira.(WB)
P,0.75,P,s8,0.007717823,P,N,Avena.sativa
P,0.226,P,s8,0.007717823,P,N,Zea.mays
P,0.118,P,s8,0.007717823,P,N,Zea.mays
P,0.119,P,s8,0.007717823,P,N,Zea.mays
P,0.0486,P,s8,0.007717823,P,N,Helianthus.bolanderi
P,0.022,P,s8,0.007717823,P,N,Helianthus.annuus
M,0.0598,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B1)
M,0.0185,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B1)
M,0.0566,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B1)
M,0.079,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B2)
M,0.0758,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B2)
M,0.0725,P,s8,0.007717823,P,N,Amsinckia.tessellata.(pop..B2)
M,0.0067,P,s8,0.007717823,P,N,Hypochaeris.radicata
M,-0.003,P,s8,0.007717823,P,N,Hypochaeris.radicata
M,0.0038,P,s8,0.007717823,P,N,Lactuca.muralis
M,-0.0104,P,s8,0.007717823,P,N,Lactuca.muralis
M,-0.0092,P,s8,0.007717823,P,N,Senecio.sylvaticus
M,0.0013,P,s8,0.007717823,P,N,Senecio.sylvaticus
M,0.026,I,s9,0.00840155,A,N,Jadera.haemotoloma
M,0,I,s9,0.00840155,A,N,Jadera.haemotoloma
L,0.015,I,s9,0.00840155,A,N,Jadera.haemotoloma
M,0.02,I,s9,0.00840155,A,N,Jadera.haemotoloma
M,0.007,I,s9,0.00840155,A,N,Jadera.haemotoloma
L,0.002,I,s9,0.00840155,A,N,Jadera.haemotoloma
M,0.027,I,s9,0.00840155,A,N,Jadera.haemotoloma
M,0.016,I,s9,0.00840155,A,N,Jadera.haemotoloma
L,0.01,I,s9,0.00840155,A,N,Jadera.haemotoloma
