means,dentitionl1ll,dentitionl1md,dentitionl2ll,dentitionl2md,dentitionP3l,dentitionP3w,dentitionP4l,dentitionP4w,dentitionM1l,dentitionM1mw,dentitionM1dw,dentitionM2l,dentitionM2mw,dentitionM2dw,dentitionM3l,dentitionM3mw,dentitionM3dw
9.015,0.5292,0.123674847,0.483808071,0.431359683,0.162823399,0.138277628,0.043996862,0.11483775,0.140691279,0.005023435,-0.075882192,0.1352469,-0.059798788,-0.073883031,0.0548708,-0.017144799,0.066387852
9.545,0.123674847,0.2805,0.123992215,0.16358186,0.006782271,0.011057787,0.004003946,0.029590027,0.024440802,0.012477753,-0.007635548,0.038192656,-0.009523508,0.035656223,0.04727604,-0.035818304,0.082909949
7.55,0.483808071,0.123992215,0.5559,0.418001956,-0.012453758,0.048970648,-0.042945812,0.063742023,0.089771104,-0.035434489,-0.099271099,0.047045688,-0.088102585,-0.056792944,0.111477652,-0.032469972,0.063331395
6.335,0.431359683,0.16358186,0.418001956,0.4732,0.042321933,0.048771997,-0.001485854,0.051329627,0.086865075,-0.026265894,-0.065921283,0.067433403,-0.002061587,0.044459288,0.159650535,0.064849233,0.0845076
6.7,0.162823399,0.006782271,-0.012453758,0.042321933,0.0775,0.085490158,0.091901519,0.060544055,0.085140209,0.043536504,0.029393076,0.100220178,0.009058279,0.016921498,0.106730534,0.077876809,0.071526551
7.785,0.138277628,0.011057787,0.048970648,0.048771997,0.085490158,0.1892,0.090195641,0.163099724,0.057116454,0.063253646,0.009406446,0.149973819,0.088830105,0.086011108,0.084837267,0.104519678,-0.003816857
7.64,0.043996862,0.004003946,-0.042945812,-0.001485854,0.091901519,0.090195641,0.1296,0.075053328,0.085935202,0.078380723,0.067929334,0.14785414,0.072132268,0.065646519,0.103795777,0.070826924,0.077079287
8.515,0.11483775,0.029590027,0.063742023,0.051329627,0.060544055,0.163099724,0.075053328,0.1406,0.068900616,0.080420831,0.054980982,0.112807345,0.093111192,0.074867077,0.072464487,0.110849344,0.017504498
10.67,0.140691279,0.024440802,0.089771104,0.086865075,0.085140209,0.057116454,0.085935202,0.068900616,0.176,0.100713059,0.093570063,0.216971393,0.087112265,0.059877147,0.13930732,0.135198425,0.037254798
8.38,0.005023435,0.012477753,-0.035434489,-0.026265894,0.043536504,0.063253646,0.078380723,0.080420831,0.100713059,0.165,0.160700956,0.126781299,0.153909871,0.118920708,0.098624665,0.160249746,0.029655869
7.88,-0.075882192,-0.007635548,-0.099271099,-0.065921283,0.029393076,0.009406446,0.067929334,0.054980982,0.093570063,0.160700956,0.1798,0.111322826,0.143236295,0.120224558,0.031605014,0.126656666,0.086769831
12.51,0.1352469,0.038192656,0.047045688,0.067433403,0.100220178,0.149973819,0.14785414,0.112807345,0.216971393,0.126781299,0.111322826,0.3174,0.16691324,0.134160593,0.238121225,0.194259908,0.052798317
9.89,-0.059798788,-0.009523508,-0.088102585,-0.002061587,0.009058279,0.088830105,0.072132268,0.093111192,0.087112265,0.153909871,0.143236295,0.16691324,0.1833,0.13505975,0.119236849,0.193031666,0.137351302
8.885,-0.073883031,0.035656223,-0.056792944,0.044459288,0.016921498,0.086011108,0.065646519,0.074867077,0.059877147,0.118920708,0.120224558,0.134160593,0.13505975,0.148,0.107828898,0.103085409,0.09573758
12.555,0.0548708,0.04727604,0.111477652,0.159650535,0.106730534,0.084837267,0.103795777,0.072464487,0.13930732,0.098624665,0.031605014,0.238121225,0.119236849,0.107828898,0.1992,0.139031401,0.08146168
9.975,-0.017144799,-0.035818304,-0.032469972,0.064849233,0.077876809,0.104519678,0.070826924,0.110849344,0.135198425,0.160249746,0.126656666,0.194259908,0.193031666,0.103085409,0.139031401,0.2625,0.101246123
8.5,0.066387852,0.082909949,0.063331395,0.0845076,0.071526551,-0.003816857,0.077079287,0.017504498,0.037254798,0.029655869,0.086769831,0.052798317,0.137351302,0.09573758,0.08146168,0.101246123,0.1232
