means,1.outline,2.b-c,2.area,2.outline,3.b-c,3.outline,4.area,4.outline,5.area,HW,EL
0.97,0.99,-0.11,-0.75,-0.51,0.07,-0.22,-0.36,-0.01,-0.48,-0.62,-2.69
0.41,-0.11,1.11,0.42,0.72,0.74,0.48,-0.68,-0.65,-1.07,-0.23,-1.13
0.03,-0.75,0.42,1.27,0.99,0.65,0.78,-0.66,-1.23,-0.6,0.27,-0.001
1.04,-0.51,0.72,0.99,0.87,0.89,1.26,-0.71,-1.23,-0.52,0.61,-0.22
0.29,0.07,0.74,0.65,0.89,1.46,1.03,-0.43,-0.62,2.82,-0.1,-1.03
0.82,-0.22,0.48,0.78,1.26,1.03,0.81,-0.41,-0.51,2.39,0.57,-0.89
0.02,-0.36,-0.68,-0.66,-0.71,-0.43,-0.41,1.25,0.97,-2.45,-0.23,-0.15
0.66,-0.01,-0.65,-1.23,-1.23,-0.62,-0.51,0.97,0.81,-4.02,-0.39,0.14
0.02,-0.48,-1.07,-0.6,-0.52,2.82,2.39,-2.45,-4.02,0.54,-1.87,0
2.86,-0.62,-0.23,0.27,0.61,-0.1,0.57,-0.23,-0.39,-1.87,0.88,0
5.01,-2.69,-1.13,-0.001,-0.22,-1.03,-0.89,-0.15,0.14,0,0,0.42
