ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,0.464,-0.18,-0.079,-0.061,0.125,0,0,0.039,0.104
0.464,1,-0.131,-0.413,-0.182,-0.429,-0.543,-0.407,-0.023,0.429
-0.18,-0.131,1,-0.089,0.038,0.345,0.016,0.118,-0.134,-0.173
-0.079,-0.413,-0.089,1,0.09,0.111,0,0.151,-0.318,-0.474
-0.061,-0.182,0.038,0.09,1,-0.114,-0.014,0,0.511,0.071
0.125,-0.429,0.345,0.111,-0.114,1,0.043,-0.05,0.032,-0.243
0,-0.543,0.016,0,-0.014,0.043,1,0.221,-0.34,-0.554
0,-0.407,0.118,0.151,0,-0.05,0.221,1,0.434,-0.014
0.039,-0.023,-0.134,-0.318,0.511,0.032,-0.34,0.434,1,0.424
0.104,0.429,-0.173,-0.474,0.071,-0.243,-0.554,-0.014,0.424,1
