dentitionl1ll,dentitionl1md,dentitionl2ll,dentitionl2md,dentitionP3l,dentitionP3w,dentitionP4l,dentitionP4w,dentitionM1l,dentitionM1mw,dentitionM1dw,dentitionM2l,dentitionM2mw,dentitionM2dw,dentitionM3l,dentitionM3mw,dentitionM3dw
1,0.320999999,0.892,0.862,0.803999998,0.437,0.168000001,0.421000001,0.461000001,0.016999999,-0.246,0.33,-0.192000001,-0.264000001,0.169000001,-0.045999999,0.259999999
0.320999999,1,0.314,0.449,0.046000002,0.047999998,0.020999999,0.149,0.11,0.057999998,-0.034000001,0.127999999,-0.042,0.174999999,0.199999998,-0.132,0.446000003
0.892,0.314,1,0.815000001,-0.059999998,0.151,-0.159999999,0.227999999,0.286999999,-0.117000001,-0.314000001,0.112000001,-0.276,-0.197999999,0.335000001,-0.085,0.241999999
0.862,0.449,0.815000001,1,0.221000001,0.163,-0.006,0.199000002,0.301000001,-0.093999999,-0.226,0.174,-0.007,0.167999998,0.519999999,0.184,0.350000001
0.803999998,0.046000002,-0.059999998,0.221000001,1,0.706000002,0.917000004,0.58,0.728999997,0.384999999,0.248999997,0.638999999,0.076000003,0.158000004,0.859,0.546,0.731999996
0.437,0.047999998,0.151,0.163,0.706000002,1,0.575999999,0.999999999,0.313,0.357999999,0.050999998,0.612000002,0.476999998,0.514,0.436999999,0.469000001,-0.024999998
0.168000001,0.020999999,-0.159999999,-0.006,0.917000004,0.575999999,1,0.556000002,0.569000001,0.536000003,0.445000001,0.728999999,0.468000001,0.474000002,0.645999998,0.384000002,0.609999999
0.421000001,0.149,0.227999999,0.199000002,0.58,0.999999999,0.556000002,1,0.438,0.528000002,0.3458,0.533999999,0.58,0.519000002,0.432999998,0.577,0.133000002
0.461000001,0.11,0.286999999,0.301000001,0.728999997,0.313,0.569000001,0.438,1,0.591,0.526,0.918000002,0.485000001,0.370999998,0.744000001,0.628999999,0.253000002
0.016999999,0.057999998,-0.117000001,-0.093999999,0.384999999,0.357999999,0.536000003,0.528000002,0.591,1,0.933000002,0.553999999,0.884999998,0.760999999,0.544000003,0.769999998,0.207999997
-0.246,-0.034000001,-0.314000001,-0.226,0.248999997,0.050999998,0.445000001,0.3458,0.526,0.933000002,1,0.466000001,0.788999999,0.737,0.167000002,0.582999999,0.582999999
0.33,0.127999999,0.112000001,0.174,0.638999999,0.612000002,0.728999999,0.533999999,0.918000002,0.553999999,0.466000001,1,0.691999999,0.619000002,0.947000002,0.672999999,0.267000002
-0.192000001,-0.042,-0.276,-0.007,0.076000003,0.476999998,0.468000001,0.58,0.485000001,0.884999998,0.788999999,0.691999999,1,0.819999998,0.624000002,0.880000001,0.913999997
-0.264000001,0.174999999,-0.197999999,0.167999998,0.158000004,0.514,0.474000002,0.519000002,0.370999998,0.760999999,0.737,0.619000002,0.819999998,1,0.627999998,0.522999998,0.708999998
0.169000001,0.199999998,0.335000001,0.519999999,0.859,0.436999999,0.645999998,0.432999998,0.744000001,0.544000003,0.167000002,0.947000002,0.624000002,0.627999998,1,0.607999998,0.519999997
-0.045999999,-0.132,-0.085,0.184,0.546,0.469000001,0.384000002,0.577,0.628999999,0.769999998,0.582999999,0.672999999,0.880000001,0.522999998,0.607999998,1,0.562999999
0.259999999,0.446000003,0.241999999,0.350000001,0.731999996,-0.024999998,0.609999999,0.133000002,0.253000002,0.207999997,0.582999999,0.267000002,0.913999997,0.708999998,0.519999997,0.562999999,1
