genitalscleritemorphomeasure1,genitalscleritemorphomeasure2.1,genitalscleritemorphomeasure2.2,genitalscleritemorphomeasure2.3,genitalscleritemorphomeasure3.1,genitalscleritemorphomeasure3.2,genitalscleritemorphomeasure4.1,genitalscleritemorphomeasure4.2,genitalscleritemorphomeasure4.3,genitalscleritemorphomeasure5.1,genitalscleritemorphomeasure5.2,headwidth,elytralength
1,-0.11,-0.75,-0.51,0.07,-0.22,0.28,-0.36,-0.01,-2.34,-0.48,-0.62,-2.69
-0.11,1,0.42,0.72,0.74,0.48,-0.43,-0.68,-0.65,0.41,-1.07,-0.23,-1.13
-0.75,0.42,1,0.99,0.65,0.78,-0.99,-0.66,-1.23,1.68,-0.6,0.27,-0.001
-0.51,0.72,0.99,1,0.89,1.26,-0.68,-0.71,-1.23,3.99,-0.52,0.61,-0.22
0.07,0.74,0.65,0.89,1,1.03,-0.57,-0.43,-0.62,3.74,2.82,-0.1,-1.03
-0.22,0.48,0.78,1.26,1.03,1,-0.37,-0.41,-0.51,4.08,2.39,0.57,-0.89
0.28,-0.43,-0.99,-0.68,-0.57,-0.37,1,1.25,1.34,-0.8,-0.1,-0.3,-1.06
-0.36,-0.68,-0.66,-0.71,-0.43,-0.41,1.25,1,0.97,-0.9,-2.45,-0.23,-0.15
-0.01,-0.65,-1.23,-1.23,-0.62,-0.51,1.34,0.97,1,-2.06,-4.02,-0.39,0.14
-2.34,0.41,1.68,3.99,3.74,4.08,-0.8,-0.9,-2.06,1,12.87,3,10.22
-0.48,-1.07,-0.6,-0.52,2.82,2.39,-0.1,-2.45,-4.02,12.87,1,-1.87,0
-0.62,-0.23,0.27,0.61,-0.1,0.57,-0.3,-0.23,-0.39,3,-1.87,1,0
-2.69,-1.13,-0.001,-0.22,-1.03,-0.89,-1.06,-0.15,0.14,10.22,0,0,1
