percent.gutted.weight,condition.factor,percent.abdominal.fat,visceral.fat,percent.fillet.weight,flesh.redness,percent.fillet.fat,percent.fillet.protein,percent.fillet.ash,percent.fillet.water
1,-0.27,0.32,-0.57,0.94,0,0.38,-0.65,-0.52,-0.16
-0.27,1,-0.02,0.19,-0.09,0.34,0,-0.35,-0.1,-0.04
0.32,-0.02,1,-0.33,0.27,0.39,0.59,-0.58,-0.71,-0.46
-0.57,0.19,-0.33,1,-0.44,0.33,-0.43,0.34,0.78,0.41
0.94,-0.09,0.27,-0.44,1,0.05,0.34,-0.62,-0.49,-0.14
0,0.34,0.39,0.33,0.05,1,0.13,0.31,0.3,-0.1
0.38,0,0.59,-0.43,0.34,0.13,1,-0.26,-0.81,-0.96
-0.65,-0.35,-0.58,0.34,-0.62,0.31,-0.26,1,0.58,0.04
-0.52,-0.1,-0.71,0.78,-0.49,0.3,-0.81,0.58,1,0.74
-0.16,-0.04,-0.46,0.41,-0.14,-0.1,-0.96,0.04,0.74,1
