interLMdistanceA,interLMdistanceB,interLMdistanceC,interLMdistanceD,interLMdistanceE,interLMdistanceF,interLMdistanceG,interLMdistanceH,interLMdistanceI,interLMdistanceJ
1,0.068485119,0.288876813,-0.614851878,0.244887543,-0.478786249,0.307249996,0.308659853,-0.729703265,-0.724195106
0.068485119,1,0.615653865,-0.271421333,0.584668178,0.359624435,0.65754631,0.390793218,-0.040770716,-0.237751694
0.288876813,0.615653865,1,0.145652804,0.741764042,0.359236067,0.84727628,0.290599982,-0.178378116,-0.392147472
-0.614851878,-0.271421333,0.145652804,1,0.326336182,0.764374859,0.038299086,0.139046488,0.773396562,0.353580326
0.244887543,0.584668178,0.741764042,0.326336182,1,0.541899847,0.683041571,0.681803262,0.134572622,-0.551446795
-0.478786249,0.359624435,0.359236067,0.764374859,0.541899847,1,0.366197802,0.075890947,0.867632481,0.393074982
0.307249996,0.65754631,0.84727628,0.038299086,0.683041571,0.366197802,1,-0.008490292,-0.162761358,-0.305383503
0.308659853,0.390793218,0.290599982,0.139046488,0.681803262,0.075890947,-0.008490292,1,-0.01177898,-0.679457527
-0.729703265,-0.040770716,-0.178378116,0.773396562,0.134572622,0.867632481,-0.162761358,-0.01177898,1,0.664318998
-0.724195106,-0.237751694,-0.392147472,0.353580326,-0.551446795,0.393074982,-0.305383503,-0.679457527,0.664318998,1
