age.at.primaparity,longevity,lifetime.fecundity,lifetime.weaning.success,lifetime.reproductive.success,fecundity.between.2.&.7.yrs,weaning.success.between.2.&.7.yrs,reproductive.success.between.2.&.7.yrs,weaning.success.after.7.yrs,adult.body.mass
1,0.32,1.04,1.04,1.27,0.69,1.08,0.83,1.24,0.34
0.32,1,0.69,0.78,0.92,1.58,0.96,1.47,0.52,-0.22
1.04,0.69,1,0.99,1.11,0.98,1,0.77,1.05,-0.0008
1.04,0.78,0.99,1,0.89,1.03,0.88,0.54,1.32,0.17
1.27,0.92,1.11,0.89,1,1.31,0.92,0.81,0.98,0.25
0.69,1.58,0.98,1.03,1.31,1,0.99,1,1.71,-0.34
1.08,0.96,1,0.88,0.92,0.99,1,0.93,0.99,0.24
0.83,1.47,0.77,0.54,0.81,1,0.93,1,0.61,0.46
1.24,0.52,1.05,1.32,0.98,1.71,0.99,0.61,1,0.51
0.34,-0.22,-0.0008,0.17,0.25,-0.34,0.24,0.46,0.51,1
