Dbase,StudyID,Taxon,Trait.type,Beta,Beta_SE,abs_Beta,Gamma,Gamma_SE,GamPos,GamNeg,Species
WPetal,1WP,V,L,-0.06,0.021683673,0.06,0.034,0.023469388,0.034,NA,Rana.lessonae
WPetal,1WP,V,L,0.158,0.023979592,0.158,-0.046,0.017346939,NA,-0.046,Rana.lessonae
WPetal,1WP,V,L,0.008,0.028316327,0.008,NA,NA,NA,NA,Rana.lessonae
WPetal,1WP,V,L,-0.02,0.013010204,0.02,-0.022,0.014795918,NA,-0.022,Rana.lessonae
WPetal,1WP,V,L,0.052,0.01122449,0.052,-0.018,0.008673469,NA,-0.018,Rana.lessonae
WPetal,1WP,V,L,0.01,0.015306122,0.01,NA,NA,NA,NA,Rana.lessonae
WPetal,1WP,V,L,0.005,0.020408163,0.005,0.008,0.020663265,0.008,NA,Rana.lessonae
WPetal,1WP,V,L,0.067,0.020408163,0.067,-0.056,0.028826531,NA,-0.056,Rana.lessonae
WPetal,1WP,V,L,0.018,0.025255102,0.018,NA,NA,NA,NA,Rana.lessonae
WPetal,2WP,P,M,0.589,0.083,0.589,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.653,0.065,0.653,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.187,0.06,0.187,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,-0.209,0.055,0.209,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.631,0.038,0.631,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.684,NA,0.684,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.674,NA,0.674,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.631,NA,0.631,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.8,0.117,0.8,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.742,0.086,0.742,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.471,0.082,0.471,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,-0.697,0.086,0.697,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.682,0.053,0.682,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.955,NA,0.955,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.505,NA,0.505,NA,NA,NA,NA,Silene.tatarica
WPetal,2WP,P,M,0.682,NA,0.682,NA,NA,NA,NA,Silene.tatarica
WPetal,3WP,P,M,0.115,NA,0.115,-0.016,NA,NA,-0.016,Iris.pumila
WPetal,3WP,P,M,-0.044,NA,0.044,-0.042,NA,NA,-0.042,Iris.pumila
WPetal,3WP,P,M,-0.008,NA,0.008,-0.005,NA,NA,-0.005,Iris.pumila
WPetal,3WP,P,M,0.147,NA,0.147,0.029,NA,0.029,NA,Iris.pumila
WPetal,3WP,P,M,0.084,NA,0.084,-0.006,NA,NA,-0.006,Iris.pumila
WPetal,3WP,P,M,-0.031,NA,0.031,-0.019,NA,NA,-0.019,Iris.pumila
WPetal,3WP,P,M,0.075,NA,0.075,0.017,NA,0.017,NA,Iris.pumila
WPetal,3WP,P,M,-0.04,NA,0.04,-0.002,NA,NA,-0.002,Iris.pumila
WPetal,3WP,P,M,0.073,NA,0.073,-0.04,NA,NA,-0.04,Iris.pumila
WPetal,3WP,P,M,-0.033,NA,0.033,-0.051,NA,NA,-0.051,Iris.pumila
WPetal,3WP,P,M,-0.016,NA,0.016,0.062,NA,0.062,NA,Iris.pumila
WPetal,3WP,P,M,0.206,NA,0.206,0.005,NA,0.005,NA,Iris.pumila
WPetal,3WP,P,M,0.066,NA,0.066,-0.041,NA,NA,-0.041,Iris.pumila
WPetal,3WP,P,M,-0.049,NA,0.049,-0.015,NA,NA,-0.015,Iris.pumila
WPetal,3WP,P,M,0.041,NA,0.041,0.019,NA,0.019,NA,Iris.pumila
WPetal,3WP,P,M,-0.047,NA,0.047,-0.023,NA,NA,-0.023,Iris.pumila
WPetal,3WP,P,M,-0.046,NA,0.046,-0.021,NA,NA,-0.021,Iris.pumila
WPetal,3WP,P,M,0.002,NA,0.002,-0.015,NA,NA,-0.015,Iris.pumila
WPetal,3WP,P,M,-0.027,NA,0.027,0.011,NA,0.011,NA,Iris.pumila
WPetal,3WP,P,M,0.145,NA,0.145,-0.006,NA,NA,-0.006,Iris.pumila
WPetal,3WP,P,M,0.093,NA,0.093,0.014,NA,0.014,NA,Iris.pumila
WPetal,3WP,P,M,-0.05,NA,0.05,-0.044,NA,NA,-0.044,Iris.pumila
WPetal,3WP,P,M,-0.008,NA,0.008,0.034,NA,0.034,NA,Iris.pumila
WPetal,3WP,P,M,0.099,NA,0.099,0.004,NA,0.004,NA,Iris.pumila
WPetal,3WP,P,M,0.057,NA,0.057,-0.018,NA,NA,-0.018,Iris.pumila
WPetal,3WP,P,M,0.042,NA,0.042,-0.03,NA,NA,-0.03,Iris.pumila
WPetal,3WP,P,M,0.057,NA,0.057,-0.031,NA,NA,-0.031,Iris.pumila
WPetal,3WP,P,M,0.123,NA,0.123,-0.022,NA,NA,-0.022,Iris.pumila
WPetal,3WP,P,M,0.033,NA,0.033,0.01,NA,0.01,NA,Iris.pumila
WPetal,3WP,P,M,-0.072,NA,0.072,0.003,NA,0.003,NA,Iris.pumila
WPetal,3WP,P,M,0.087,NA,0.087,-0.039,NA,NA,-0.039,Iris.pumila
WPetal,3WP,P,M,-0.072,NA,0.072,-0.047,NA,NA,-0.047,Iris.pumila
WPetal,3WP,P,M,0.049,NA,0.049,-0.047,NA,NA,-0.047,Iris.pumila
WPetal,3WP,P,M,0.042,NA,0.042,-0.078,NA,NA,-0.078,Iris.pumila
WPetal,3WP,P,M,0.085,NA,0.085,0.005,NA,0.005,NA,Iris.pumila
WPetal,3WP,P,M,0.097,NA,0.097,0.002,NA,0.002,NA,Iris.pumila
WPetal,3WP,P,M,0.04,NA,0.04,-0.016,NA,NA,-0.016,Iris.pumila
WPetal,3WP,P,M,-0.029,NA,0.029,-0.005,NA,NA,-0.005,Iris.pumila
WPetal,3WP,P,M,-0.03,NA,0.03,-0.013,NA,NA,-0.013,Iris.pumila
WPetal,3WP,P,M,-0.025,NA,0.025,0.031,NA,0.031,NA,Iris.pumila
WPetal,3WP,P,M,0.122,NA,0.122,-0.037,NA,NA,-0.037,Iris.pumila
WPetal,3WP,P,M,-0.074,NA,0.074,-0.001,NA,NA,-0.001,Iris.pumila
WPetal,3WP,P,M,0.131,NA,0.131,0.03,NA,0.03,NA,Iris.pumila
WPetal,3WP,P,M,0.378,NA,0.378,-0.006,NA,NA,-0.006,Iris.pumila
WPetal,3WP,P,M,0.007,NA,0.007,-0.013,NA,NA,-0.013,Iris.pumila
WPetal,3WP,P,M,-0.046,NA,0.046,-0.039,NA,NA,-0.039,Iris.pumila
WPetal,3WP,P,M,-0.083,NA,0.083,0.043,NA,0.043,NA,Iris.pumila
WPetal,3WP,P,M,-0.019,NA,0.019,0.006,NA,0.006,NA,Iris.pumila
WPetal,4WP,P,M,-0.008,NA,0.008,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.018,NA,0.018,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.015,NA,0.015,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.017,NA,0.017,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.003,NA,0.003,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.002,NA,0.002,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.002,NA,0.002,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.021,NA,0.021,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.002,NA,0.002,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.001,NA,0.001,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.025,NA,0.025,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.005,NA,0.005,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.033,NA,0.033,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.017,NA,0.017,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.005,NA,0.005,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.014,NA,0.014,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.009,NA,0.009,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.073,NA,0.073,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.534,NA,0.534,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.766,NA,0.766,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.423,NA,0.423,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.03,NA,0.03,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.201,NA,0.201,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.013,NA,0.013,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.166,NA,0.166,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.308,NA,0.308,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.718,NA,0.718,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.371,NA,0.371,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,1.159,NA,1.159,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.348,NA,0.348,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,-0.026,NA,0.026,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,0.06,NA,0.06,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,NA,NA,NA,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,NA,NA,NA,NA,NA,NA,NA,Helianthus.annuus
WPetal,4WP,P,M,NA,NA,NA,NA,NA,NA,NA,Helianthus.annuus
WPetal,5WP,I,S,-0.37,0.094,0.37,-0.122,0.068,NA,-0.122,Teleogryllus.commodus
